ID	DOCULECT	GLOTTOCODE	COGID	PARAMETER	VALUE	SEGMENTS	ALIGNMENT	SOURCE
635	Latin	lati1261	317	cessāre-cesar	cessāre	k e ʂː ɑː ɾ e	k - e ʂː ɑː ɾ e	Hartman2003
636	Spanish	stan1288	317	cessāre-cesar	cesar	θ e ʂ ɑ ɾ	θ - e ʂ ɑ ɾ -	Hartman2003
637	Latin	lati1261	318	charta-carta	charta	k ɑ ɾ t ɑ	k ɑ ɾ t ɑ	Hartman2003
638	Spanish	stan1288	318	charta-carta	carta	k ɑ ɾ t ɑ	k ɑ ɾ t ɑ	Hartman2003
639	Latin	lati1261	319	chorda-cuerda	chorda	k o ɾ d ɑ	k - o ɾ d ɑ	Hartman2003
640	Spanish	stan1288	319	chorda-cuerda	cuerda	k w e ɾ ð ɑ	k w e ɾ ð ɑ	Hartman2003
641	Latin	lati1261	320	cibāre-cebar	cibāre	k i b ɑː ɾ e	k - i b ɑː ɾ e	Hartman2003
642	Spanish	stan1288	320	cibāre-cebar	cebar	θ e β ɑ ɾ	θ - e β ɑ ɾ -	Hartman2003
643	Latin	lati1261	321	cibāria-cebera	cibāria	k i b ɑː ɾ iɑ	k - i b ɑː - ɾ - iɑ	Hartman2003
644	Spanish	stan1288	321	cibāria-cebera	cebera	θ e β e ɾ ɑ	θ - e β e - ɾ - ɑ	Hartman2003
645	Latin	lati1261	322	cibu-cebo	cibu	k i b u	k - i b u	Hartman2003
646	Spanish	stan1288	322	cibu-cebo	cebo	θ e β o	θ - e β o	Hartman2003
647	Latin	lati1261	323	cilia-ceja	cilia	k i l iɑ	k - i l - iɑ	Hartman2003
648	Spanish	stan1288	323	cilia-ceja	ceja	θ e x ɑ	θ - e x - ɑ	Hartman2003
649	Latin	lati1261	324	cinctūra-cintura	cinctūra	k i n k t uː ɾ ɑ	k - i n k t uː ɾ ɑ	Hartman2003
650	Spanish	stan1288	324	cinctūra-cintura	cintura	θ i n t u ɾ ɑ	θ - i n - t u ɾ ɑ	Hartman2003
651	Latin	lati1261	325	cinctūrātu-cintrado	cinctūrātu	k i n k t uː ɾ ɑː t u	k - i n k t uː ɾ ɑː t u	Hartman2003
652	Spanish	stan1288	325	cinctūrātu-cintrado	cintrado	θ i n t ɾ ɑ ð o	θ - i n - t - ɾ ɑ ð o	Hartman2003
653	Latin	lati1261	326	cinerāta-cendrada	cinerāta	k i n e ɾ ɑː t ɑ	k - i n - e ɾ ɑː t ɑ	Hartman2003
654	Spanish	stan1288	326	cinerāta-cendrada	cendrada	θ e n d ɾ ɑ ð ɑ	θ - e n d - ɾ ɑ ð ɑ	Hartman2003
655	Latin	lati1261	327	cinnu-ceño	cinnu	k i nː u	k - i nː u	Hartman2003
656	Spanish	stan1288	327	cinnu-ceño	ceño	θ e ɲ o	θ - e ɲ o	Hartman2003
657	Latin	lati1261	328	cippu-cepo	cippu	k i pː u	k - i pː u	Hartman2003
658	Spanish	stan1288	328	cippu-cepo	cepo	θ e p o	θ - e p o	Hartman2003
659	Latin	lati1261	329	circa-cerca	circa	k i ɾ k ɑ	k - i ɾ k ɑ	Hartman2003
660	Spanish	stan1288	329	circa-cerca	cerca	θ e ɾ k ɑ	θ - e ɾ k ɑ	Hartman2003
661	Latin	lati1261	330	circāre-cercar	circāre	k i ɾ k ɑː ɾ e	k - i ɾ k ɑː ɾ e	Hartman2003
662	Spanish	stan1288	330	circāre-cercar	cercar	θ e ɾ k ɑ ɾ	θ - e ɾ k ɑ ɾ -	Hartman2003
663	Latin	lati1261	331	circu-cerco	circu	k i ɾ k u	k - i ɾ k u	Hartman2003
664	Spanish	stan1288	331	circu-cerco	cerco	θ e ɾ k o	θ - e ɾ k o	Hartman2003
665	Latin	lati1261	332	circulu-cercho	circulu	k i ɾ k u l u	k - i ɾ k u l u	Hartman2003
666	Spanish	stan1288	332	circulu-cercho	cercho	θ e ɾ tʃ o	θ - e ɾ tʃ - - o	Hartman2003
667	Latin	lati1261	333	cirru-cerro	cirru	k i r u	k - i r u	Hartman2003
668	Spanish	stan1288	333	cirru-cerro	cerro	θ e r o	θ - e r o	Hartman2003
669	Latin	lati1261	334	cista-cesta	cista	k i ʂ t ɑ	k - i ʂ t ɑ	Hartman2003
670	Spanish	stan1288	334	cista-cesta	cesta	θ e s t ɑ	θ - e s t ɑ	Hartman2003
671	Latin	lati1261	335	cito-cedo	cito	k i t o	k - i t o	Hartman2003
672	Spanish	stan1288	335	cito-cedo	cedo	θ e ð o	θ - e ð o	Hartman2003
673	Latin	lati1261	336	citru-cedro	citru	k i t ɾ u	k - i t ɾ u	Hartman2003
674	Spanish	stan1288	336	citru-cedro	cedro	θ e ð ɾ o	θ - e ð ɾ o	Hartman2003
675	Latin	lati1261	337	clāve-llave	clāve	k l ɑː w e	k l ɑː w e	Hartman2003
676	Spanish	stan1288	337	clāve-llave	llave	ʎ ɑ β e	- ʎ ɑ β e	Hartman2003
677	Latin	lati1261	338	clamāre-llamar	clamāre	k l ɑ m ɑː ɾ e	k l ɑ m ɑː ɾ e	Hartman2003
678	Spanish	stan1288	338	clamāre-llamar	llamar	ʎ ɑ m ɑ ɾ	- ʎ ɑ m ɑ ɾ -	Hartman2003
679	Latin	lati1261	339	clamō-llamo	clamō	k l ɑ m oː	k l ɑ m oː	Hartman2003
680	Spanish	stan1288	339	clamō-llamo	llamo	ʎ ɑ m o	- ʎ ɑ m o	Hartman2003
681	Latin	lati1261	340	cōgitāre-cuidar	cōgitāre	k oː g i t ɑː ɾ e	k oː g - i t ɑː ɾ e	Hartman2003
682	Spanish	stan1288	340	cōgitāre-cuidar	cuidar	k w i ð ɑ ɾ	k - - w i ð ɑ ɾ -	Hartman2003
683	Latin	lati1261	341	cōlāre-colar	cōlāre	k oː l ɑː ɾ e	k oː l ɑː ɾ e	Hartman2003
684	Spanish	stan1288	341	cōlāre-colar	colar	k o l ɑ ɾ	k o l ɑ ɾ -	Hartman2003
685	Latin	lati1261	342	cōrnu-corno	cōrnu	k oː ɾ n u	k oː ɾ n u	Hartman2003
686	Spanish	stan1288	342	cōrnu-corno	corno	k o ɾ n o	k o ɾ n o	Hartman2003
687	Latin	lati1261	343	cocēre-cocer	cocēre	k o k eː ɾ e	k o k - eː ɾ e	Hartman2003
688	Spanish	stan1288	343	cocēre-cocer	cocer	k o θ e ɾ	k o θ - e ɾ -	Hartman2003
689	Latin	lati1261	344	cocīna-cocina	cocīna	k o k iː n ɑ	k o k - iː n ɑ	Hartman2003
690	Spanish	stan1288	344	cocīna-cocina	cocina	k o θ i n ɑ	k o θ - i n ɑ	Hartman2003
691	Latin	lati1261	345	coctu-cocho	coctu	k o k t u	k o k t u	Hartman2003
692	Spanish	stan1288	345	coctu-cocho	cocho	k o tʃ o	k o - tʃ o	Hartman2003
693	Latin	lati1261	346	cognāta-cuñada	cognāta	k o g n ɑː t ɑ	k o g n ɑː t ɑ	Hartman2003
694	Spanish	stan1288	346	cognāta-cuñada	cuñada	k u ɲ ɑ ð ɑ	k u - ɲ ɑ ð ɑ	Hartman2003
695	Latin	lati1261	347	cognātu-cuñado	cognātu	k o g n ɑː t u	k o g n ɑː t u	Hartman2003
696	Spanish	stan1288	347	cognātu-cuñado	cuñado	k u ɲ ɑ ð o	k u - ɲ ɑ ð o	Hartman2003
697	Latin	lati1261	348	collāre-collar	collāre	k o lː ɑː ɾ e	k o lː ɑː ɾ e	Hartman2003
698	Spanish	stan1288	348	collāre-collar	collar	k o ʎ ɑ ɾ	k o ʎ ɑ ɾ -	Hartman2003
699	Latin	lati1261	349	collātu-collado	collātu	k o lː ɑː t u	k o lː ɑː t u	Hartman2003
700	Spanish	stan1288	349	collātu-collado	collado	k o ʎ ɑ ð o	k o ʎ ɑ ð o	Hartman2003
701	Latin	lati1261	350	collocāre-colgar	collocāre	k o lː o k ɑː ɾ e	k o lː o k ɑː ɾ e	Hartman2003
702	Spanish	stan1288	350	collocāre-colgar	colgar	k o l ɣ ɑ ɾ	k o l - ɣ ɑ ɾ -	Hartman2003
703	Latin	lati1261	351	collocat-cuelga	collocat	k o lː o k ɑ t	k - o lː o k ɑ t	Hartman2003
704	Spanish	stan1288	351	collocat-cuelga	cuelga	k w e l ɣ ɑ	k w e l - ɣ ɑ -	Hartman2003
705	Latin	lati1261	352	collu-cuello	collu	k o lː u	k - o lː u	Hartman2003
706	Spanish	stan1288	352	collu-cuello	cuello	k w e ʎ o	k w e ʎ o	Hartman2003
707	Latin	lati1261	353	colōre-color	colōre	k o l oː ɾ e	k o l oː ɾ e	Hartman2003
708	Spanish	stan1288	353	colōre-color	color	k o l o ɾ	k o l o ɾ -	Hartman2003
709	Latin	lati1261	354	colobra-culebra	colobra	k o l o b ɾ ɑ	k o l - o b ɾ ɑ	Hartman2003
710	Spanish	stan1288	354	colobra-culebra	culebra	k u l e β ɾ ɑ	k u l - e β ɾ ɑ	Hartman2003
711	Latin	lati1261	355	cominitiāre-comenzar	cominitiāre	k o m i n i t i ɑː ɾ e	k o m i n i t i ɑː ɾ e	Hartman2003
712	Spanish	stan1288	355	cominitiāre-comenzar	comenzar	k o m e n θ ɑ ɾ	k o m e n - θ - ɑ ɾ -	Hartman2003
713	Latin	lati1261	356	comite-cuende	comite	k o m i t e	k - o m i t e	Hartman2003
714	Spanish	stan1288	356	comite-cuende	cuende	k w e n d e	k w e n - d e	Hartman2003
715	Latin	lati1261	357	comitissa-condesa	comitissa	k o m i t i ʂː ɑ	k o m i t i ʂː ɑ	Hartman2003
716	Spanish	stan1288	357	comitissa-condesa	condesa	k o n d e ʂ ɑ	k o n - d e ʂ ɑ	Hartman2003
717	Latin	lati1261	358	commatre-comadre	commatre	k o mː ɑ t ɾ e	k o mː ɑ t ɾ e	Hartman2003
718	Spanish	stan1288	358	commatre-comadre	comadre	k o m ɑ ð ɾ e	k o m ɑ ð ɾ e	Hartman2003
719	Latin	lati1261	359	commūne-común	commūne	k o mː uː n e	k o mː uː n e	Hartman2003
720	Spanish	stan1288	359	commūne-común	común	k o m u n	k o m u n -	Hartman2003
721	Latin	lati1261	360	commūnia-comuña	commūnia	k o mː uː n iɑ	k o mː uː n - iɑ	Hartman2003
722	Spanish	stan1288	360	commūnia-comuña	comuña	k o m u ɲ ɑ	k o m u ɲ - ɑ	Hartman2003
723	Latin	lati1261	361	compania-compaña	compania	k o m p ɑ n iɑ	k o m p ɑ n - iɑ	Hartman2003
724	Spanish	stan1288	361	compania-compaña	compaña	k o m p ɑ ɲ ɑ	k o m p ɑ ɲ - ɑ	Hartman2003
725	Latin	lati1261	362	companicu-compango	companicu	k o m p ɑ n i k u	k o m p ɑ n i k u	Hartman2003
726	Spanish	stan1288	362	companicu-compango	compango	k o m p ɑ ŋ g o	k o m p ɑ ŋ - g o	Hartman2003
727	Latin	lati1261	363	companiōne-compañón	companiōne	k o m p ɑ n i oː n e	k o m p ɑ n i oː n e	Hartman2003
728	Spanish	stan1288	363	companiōne-compañón	compañón	k o m p ɑ ɲ o n	k o m p ɑ ɲ - o n -	Hartman2003
729	Latin	lati1261	364	compassāre-compasar	compassāre	k o m p ɑ ʂː ɑː ɾ e	k o m p ɑ ʂː ɑː ɾ e	Hartman2003
730	Spanish	stan1288	364	compassāre-compasar	compasar	k o m p ɑ ʂ ɑ ɾ	k o m p ɑ ʂ ɑ ɾ -	Hartman2003
731	Latin	lati1261	365	compatre-compadre	compatre	k o m p ɑ t ɾ e	k o m p ɑ t ɾ e	Hartman2003
732	Spanish	stan1288	365	compatre-compadre	compadre	k o m p ɑ ð ɾ e	k o m p ɑ ð ɾ e	Hartman2003
733	Latin	lati1261	366	comperāre-comprar	comperāre	k o m p e ɾ ɑː ɾ e	k o m p e ɾ ɑː ɾ e	Hartman2003
734	Spanish	stan1288	366	comperāre-comprar	comprar	k o m p ɾ ɑ ɾ	k o m p - ɾ ɑ ɾ -	Hartman2003
735	Latin	lati1261	367	computāre-contar	computāre	k o m p u t ɑː ɾ e	k o m p u t ɑː ɾ e	Hartman2003
736	Spanish	stan1288	367	computāre-contar	contar	k o n t ɑ ɾ	k o n - - t ɑ ɾ -	Hartman2003
737	Latin	lati1261	368	computu-cuento	computu	k o m p u t u	k - o m p u t u	Hartman2003
738	Spanish	stan1288	368	computu-cuento	cuento	k w e n t o	k w e n - - t o	Hartman2003
739	Latin	lati1261	369	concha-cuenca	concha	k o n k ɑ	k - o n k ɑ	Hartman2003
740	Spanish	stan1288	369	concha-cuenca	cuenca	k w e ŋ k ɑ	k w e ŋ k ɑ	Hartman2003
741	Latin	lati1261	370	conductu-conducho	conductu	k o n d u k t u	k o n d u k t u	Hartman2003
742	Spanish	stan1288	370	conductu-conducho	conducho	k u n d u tʃ o	k u n d u - tʃ o	Hartman2003
743	Latin	lati1261	371	constāre-costar	constāre	k o n ʂ t ɑː ɾ e	k o n ʂ t ɑː ɾ e	Hartman2003
744	Spanish	stan1288	371	constāre-costar	costar	k o s t ɑ ɾ	k o - s t ɑ ɾ -	Hartman2003
745	Latin	lati1261	372	consutūra-costura	consutūra	k o n ʂ u t uː ɾ ɑ	k o n ʂ u t uː ɾ ɑ	Hartman2003
746	Spanish	stan1288	372	consutūra-costura	costura	k o s t u ɾ ɑ	k o - s - t u ɾ ɑ	Hartman2003
747	Latin	lati1261	373	contractu-contrecho	contractu	k o n t ɾ ɑ k t u	k o n t ɾ ɑ k t u	Hartman2003
748	Spanish	stan1288	373	contractu-contrecho	contrecho	k u n t ɾ e tʃ o	k u n t ɾ e - tʃ o	Hartman2003
749	Latin	lati1261	374	coopertu-cubierto	coopertu	k oː p e ɾ t u	k oː p - e ɾ t u	Hartman2003
750	Spanish	stan1288	374	coopertu-cubierto	cubierto	k u β j e ɾ t o	k u β j e ɾ t o	Hartman2003
751	Latin	lati1261	375	coramine-corambre	coramine	k o ɾ ɑ m i n e	k o ɾ ɑ m i n - e	Hartman2003
752	Spanish	stan1288	375	coramine-corambre	corambre	k o ɾ ɑ m b ɾ e	k o ɾ ɑ m - b ɾ e	Hartman2003
753	Latin	lati1261	376	coratea-coraza	coratea	k o ɾ ɑ t eɑ	k o ɾ ɑ t - eɑ	Hartman2003
754	Spanish	stan1288	376	coratea-coraza	coraza	k o ɾ ɑ θ ɑ	k o ɾ ɑ θ - ɑ	Hartman2003
755	Latin	lati1261	377	cordoliu-cordojo	cordoliu	k o ɾ d o l iu	k o ɾ d o l - iu	Hartman2003
756	Spanish	stan1288	377	cordoliu-cordojo	cordojo	k o ɾ ð o x o	k o ɾ ð o x - o	Hartman2003
757	Latin	lati1261	378	coriu-cuero	coriu	k o ɾ iu	k - o - ɾ - iu	Hartman2003
758	Spanish	stan1288	378	coriu-cuero	cuero	k w e ɾ o	k w e - ɾ - o	Hartman2003
759	Latin	lati1261	379	cornariu-cornero	cornariu	k o ɾ n ɑ ɾ iu	k o ɾ n ɑ - ɾ - iu	Hartman2003
760	Spanish	stan1288	379	cornariu-cornero	cornero	k o ɾ n e ɾ o	k o ɾ n e - ɾ - o	Hartman2003
761	Latin	lati1261	380	cornicula-corneja	cornicula	k o ɾ n i k u l ɑ	k o ɾ n i k u l ɑ	Hartman2003
762	Spanish	stan1288	380	cornicula-corneja	corneja	k o ɾ n e x ɑ	k o ɾ n e - - x ɑ	Hartman2003
763	Latin	lati1261	381	corniculu-cornejo	corniculu	k o ɾ n i k u l u	k o ɾ n i k u l u	Hartman2003
764	Spanish	stan1288	381	corniculu-cornejo	cornejo	k o ɾ n e x o	k o ɾ n e x - - o	Hartman2003
765	Latin	lati1261	382	cornu-cuerno	cornu	k o ɾ n u	k - o ɾ n u	Hartman2003
766	Spanish	stan1288	382	cornu-cuerno	cuerno	k w e ɾ n o	k w e ɾ n o	Hartman2003
767	Latin	lati1261	383	cornūtu-cornudo	cornūtu	k o ɾ n uː t u	k o ɾ n uː t u	Hartman2003
768	Spanish	stan1288	383	cornūtu-cornudo	cornudo	k o ɾ n u ð o	k o ɾ n u ð o	Hartman2003
769	Latin	lati1261	384	corōna-corona	corōna	k o ɾ oː n ɑ	k o ɾ oː n ɑ	Hartman2003
770	Spanish	stan1288	384	corōna-corona	corona	k o ɾ o n ɑ	k o ɾ o n ɑ	Hartman2003
771	Latin	lati1261	385	corpu-cuerpo	corpu	k o ɾ p u	k - o ɾ p u	Hartman2003
772	Spanish	stan1288	385	corpu-cuerpo	cuerpo	k w e ɾ p o	k w e ɾ p o	Hartman2003
773	Latin	lati1261	386	corrigia-correa	corrigia	k o r i g iɑ	k o r i g iɑ	Hartman2003
774	Spanish	stan1288	386	corrigia-correa	correa	k o r iɑ	k o r - - iɑ	Hartman2003
775	Latin	lati1261	387	corruptiu-corrozo	corruptiu	k o r u p t iu	k o r u p t - iu	Hartman2003
776	Spanish	stan1288	387	corruptiu-corrozo	corrozo	k o r o θ o	k o r o - θ - o	Hartman2003
777	Latin	lati1261	388	cortīna-cortina	cortīna	k o ɾ t iː n ɑ	k o ɾ t iː n ɑ	Hartman2003
778	Spanish	stan1288	388	cortīna-cortina	cortina	k o ɾ t i n ɑ	k o ɾ t i n ɑ	Hartman2003
779	Latin	lati1261	389	corvu-cuervo	corvu	k o ɾ w u	k - o ɾ w u	Hartman2003
780	Spanish	stan1288	389	corvu-cuervo	cuervo	k w e ɾ β o	k w e ɾ β o	Hartman2003
781	Latin	lati1261	390	costa-cuesta	costa	k o ʂ t ɑ	k - o ʂ t ɑ	Hartman2003
782	Spanish	stan1288	390	costa-cuesta	cuesta	k w e s t ɑ	k w e s t ɑ	Hartman2003
783	Latin	lati1261	391	coxa-coja	coxa	k o k ʂ ɑ	k o k ʂ ɑ	Hartman2003
784	Spanish	stan1288	391	coxa-coja	coja	k o x ɑ	k o - x ɑ	Hartman2003
785	Latin	lati1261	392	coxu-cojo	coxu	k o k ʂ u	k o k ʂ u	Hartman2003
786	Spanish	stan1288	392	coxu-cojo	cojo	k o x o	k o - x o	Hartman2003
787	Latin	lati1261	393	crēāre-criar	crēāre	k ɾ eː ɑː ɾ e	k ɾ - eː ɑː ɾ e	Hartman2003
788	Spanish	stan1288	393	crēāre-criar	criar	k ɾ j ɑ ɾ	k ɾ j ɑ - ɾ -	Hartman2003
789	Latin	lati1261	394	crēdēre-creer	crēdēre	k ɾ eː d eː ɾ e	k ɾ eː d eː ɾ e	Hartman2003
790	Spanish	stan1288	394	crēdēre-creer	creer	k ɾ e e ɾ	k ɾ e - e ɾ -	Hartman2003
791	Latin	lati1261	395	crēdit-cree	crēdit	k ɾ eː d i t	k ɾ eː d i t	Hartman2003
792	Spanish	stan1288	395	crēdit-cree	cree	k ɾ eː	k ɾ eː - - -	Hartman2003
793	Latin	lati1261	396	crēdō-creo	crēdō	k ɾ eː d oː	k ɾ eː d oː	Hartman2003
794	Spanish	stan1288	396	crēdō-creo	creo	k ɾ eo	k ɾ eo - -	Hartman2003
795	Latin	lati1261	397	crēscēre-crecer	crēscēre	k ɾ eː ʂ k eː ɾ e	k ɾ eː ʂ k - eː ɾ e	Hartman2003
796	Spanish	stan1288	397	crēscēre-crecer	crecer	k ɾ e θ e ɾ	k ɾ e - θ - e ɾ -	Hartman2003
797	Latin	lati1261	398	creatiōne-criazón	creatiōne	k ɾ eɑ t i oː n e	k ɾ - eɑ t i - oː n e	Hartman2003
798	Spanish	stan1288	398	creatiōne-criazón	criazón	k ɾ j ɑ θ o n	k ɾ j ɑ θ - - o n -	Hartman2003
799	Latin	lati1261	399	crībellu-cribillo	crībellu	k ɾ iː b e lː u	k ɾ iː b - e lː u	Hartman2003
800	Spanish	stan1288	399	crībellu-cribillo	cribillo	k ɾ i β i ʎ o	k ɾ i β - i ʎ o	Hartman2003
801	Latin	lati1261	400	crīne-crín	crīne	k ɾ iː n e	k ɾ iː n e	Hartman2003
802	Spanish	stan1288	400	crīne-crín	crín	k ɾ i n	k ɾ i n -	Hartman2003
803	Latin	lati1261	401	crispāre-crespar	crispāre	k ɾ i ʂ p ɑː ɾ e	k ɾ i ʂ p ɑː ɾ e	Hartman2003
804	Spanish	stan1288	401	crispāre-crespar	crespar	k ɾ e ʂ p ɑ ɾ	k ɾ e ʂ p ɑ ɾ -	Hartman2003
805	Latin	lati1261	402	crispu-crespo	crispu	k ɾ i ʂ p u	k ɾ i ʂ p u	Hartman2003
806	Spanish	stan1288	402	crispu-crespo	crespo	k ɾ e ʂ p o	k ɾ e ʂ p o	Hartman2003
807	Latin	lati1261	403	crista-cresta	crista	k ɾ i ʂ t ɑ	k ɾ i ʂ t ɑ	Hartman2003
808	Spanish	stan1288	403	crista-cresta	cresta	k ɾ e s t ɑ	k ɾ e s t ɑ	Hartman2003
809	Latin	lati1261	404	cristātu-crestado	cristātu	k ɾ i ʂ t ɑː t u	k ɾ i ʂ t ɑː t u	Hartman2003
810	Spanish	stan1288	404	cristātu-crestado	crestado	k ɾ e s t ɑ ð o	k ɾ e s t ɑ ð o	Hartman2003
811	Latin	lati1261	405	crūdēle-cruel	crūdēle	k ɾ uː d eː l e	k ɾ uː d eː l e	Hartman2003
812	Spanish	stan1288	405	crūdēle-cruel	cruel	k ɾ w e l	k ɾ - w e l -	Hartman2003
813	Latin	lati1261	406	crūdu-crúo	crūdu	k ɾ uː d u	k ɾ uː d u	Hartman2003
814	Spanish	stan1288	406	crūdu-crúo	crúo	k ɾ uo	k ɾ uo - -	Hartman2003
815	Latin	lati1261	407	cūlu-culo	cūlu	k uː l u	k uː l u	Hartman2003
816	Spanish	stan1288	407	cūlu-culo	culo	k u l o	k u l o	Hartman2003
817	Latin	lati1261	408	cūna-cuna	cūna	k uː n ɑ	k uː n ɑ	Hartman2003
818	Spanish	stan1288	408	cūna-cuna	cuna	k u n ɑ	k u n ɑ	Hartman2003
819	Latin	lati1261	409	cūpa-cuba	cūpa	k uː p ɑ	k uː p ɑ	Hartman2003
820	Spanish	stan1288	409	cūpa-cuba	cuba	k u β ɑ	k u β ɑ	Hartman2003
821	Latin	lati1261	410	cūra-cura	cūra	k uː ɾ ɑ	k uː ɾ ɑ	Hartman2003
822	Spanish	stan1288	410	cūra-cura	cura	k u ɾ ɑ	k u ɾ ɑ	Hartman2003
823	Latin	lati1261	411	cūrāre-curar	cūrāre	k uː ɾ ɑː ɾ e	k uː ɾ ɑː ɾ e	Hartman2003
824	Spanish	stan1288	411	cūrāre-curar	curar	k u ɾ ɑ ɾ	k u ɾ ɑ ɾ -	Hartman2003
825	Latin	lati1261	412	cubāre-cobar	cubāre	k u b ɑː ɾ e	k u b ɑː ɾ e	Hartman2003
826	Spanish	stan1288	412	cubāre-cobar	cobar	k o β ɑ ɾ	k o β ɑ ɾ -	Hartman2003
827	Latin	lati1261	413	cubitāle-codal	cubitāle	k u b i t ɑː l e	k u b i t ɑː l e	Hartman2003
828	Spanish	stan1288	413	cubitāle-codal	codal	k o ð ɑ l	k o - - ð ɑ l -	Hartman2003
829	Latin	lati1261	414	cubitu-codo	cubitu	k u b i t u	k u b i t u	Hartman2003
830	Spanish	stan1288	414	cubitu-codo	codo	k o ð o	k o - - ð o	Hartman2003
831	Latin	lati1261	415	cucullu-cogollo	cucullu	k u k u lː u	k u k u lː u	Hartman2003
832	Spanish	stan1288	415	cucullu-cogollo	cogollo	k o ɣ o ʎ o	k o ɣ o ʎ o	Hartman2003
833	Latin	lati1261	416	culmu-colmo	culmu	k u l m u	k u l m u	Hartman2003
834	Spanish	stan1288	416	culmu-colmo	colmo	k o l m o	k o l m o	Hartman2003
835	Latin	lati1261	417	cultrāle-cuitral	cultrāle	k u l t ɾ ɑː l e	k - u l t ɾ ɑː l e	Hartman2003
836	Spanish	stan1288	417	cultrāle-cuitral	cuitral	k w i t ɾ ɑ l	k w i - t ɾ ɑ l -	Hartman2003
837	Latin	lati1261	418	cum-con	cum	k u m	k u m	Hartman2003
838	Spanish	stan1288	418	cum-con	con	k o n	k o n	Hartman2003
839	Latin	lati1261	419	cumulicāre-comolgar	cumulicāre	k u m u l i k ɑː ɾ e	k u m u l i k ɑː ɾ e	Hartman2003
840	Spanish	stan1288	419	cumulicāre-comolgar	comolgar	k o m o l ɣ ɑ ɾ	k o m o l - ɣ ɑ ɾ -	Hartman2003
841	Latin	lati1261	420	cuneu-cuño	cuneu	k u n eu	k u n - eu	Hartman2003
842	Spanish	stan1288	420	cuneu-cuño	cuño	k u ɲ o	k u ɲ - o	Hartman2003
843	Latin	lati1261	421	cuniculu-conejo	cuniculu	k u n i k u l u	k u n i k u l u	Hartman2003
844	Spanish	stan1288	421	cuniculu-conejo	conejo	k o n e x o	k o n e - - x o	Hartman2003
845	Latin	lati1261	422	cunnu-coño	cunnu	k u nː u	k u nː u	Hartman2003
846	Spanish	stan1288	422	cunnu-coño	coño	k o ɲ o	k o ɲ o	Hartman2003
847	Latin	lati1261	423	cuppa-copa	cuppa	k u pː ɑ	k u pː ɑ	Hartman2003
848	Spanish	stan1288	423	cuppa-copa	copa	k o p ɑ	k o p ɑ	Hartman2003
849	Latin	lati1261	424	currēre-correr	currēre	k u r eː ɾ e	k u r eː ɾ e	Hartman2003
850	Spanish	stan1288	424	currēre-correr	correr	k o r e ɾ	k o r e ɾ -	Hartman2003
851	Latin	lati1261	425	cursu-coso	cursu	k u ɾ ʂ u	k u ɾ ʂ u	Hartman2003
852	Spanish	stan1288	425	cursu-coso	coso	k o ʂ o	k o - ʂ o	Hartman2003
853	Latin	lati1261	426	curtāre-cortar	curtāre	k u ɾ t ɑː ɾ e	k u ɾ t ɑː ɾ e	Hartman2003
854	Spanish	stan1288	426	curtāre-cortar	cortar	k o ɾ t ɑ ɾ	k o ɾ t ɑ ɾ -	Hartman2003
855	Latin	lati1261	427	curtu-corto	curtu	k u ɾ t u	k u ɾ t u	Hartman2003
856	Spanish	stan1288	427	curtu-corto	corto	k o ɾ t o	k o ɾ t o	Hartman2003
857	Latin	lati1261	428	curvāre-corvar	curvāre	k u ɾ w ɑː ɾ e	k u ɾ w ɑː ɾ e	Hartman2003
858	Spanish	stan1288	428	curvāre-corvar	corvar	k o ɾ β ɑ ɾ	k o ɾ β ɑ ɾ -	Hartman2003
859	Latin	lati1261	429	curvu-corvo	curvu	k u ɾ w u	k u ɾ w u	Hartman2003
860	Spanish	stan1288	429	curvu-corvo	corvo	k o ɾ β o	k o ɾ β o	Hartman2003
861	Latin	lati1261	430	damnāre-dañar	damnāre	d ɑ m n ɑː ɾ e	d ɑ m n ɑː ɾ e	Hartman2003
862	Spanish	stan1288	430	damnāre-dañar	dañar	ð ɑ ɲ ɑ ɾ	ð ɑ - ɲ ɑ ɾ -	Hartman2003
863	Latin	lati1261	431	damnu-daño	damnu	d ɑ m n u	d ɑ m n u	Hartman2003
864	Spanish	stan1288	431	damnu-daño	daño	ð ɑ ɲ o	ð ɑ - ɲ o	Hartman2003
865	Latin	lati1261	432	dare-dar	dare	d ɑ ɾ e	d ɑ ɾ e	Hartman2003
866	Spanish	stan1288	432	dare-dar	dar	ð ɑ ɾ	ð ɑ ɾ -	Hartman2003
867	Latin	lati1261	433	dē-de	dē	d eː	d eː	Hartman2003
868	Spanish	stan1288	433	dē-de	de	ð e	ð e	Hartman2003
869	Latin	lati1261	434	dēbēre-deber	dēbēre	d eː b eː ɾ e	d eː b eː ɾ e	Hartman2003
870	Spanish	stan1288	434	dēbēre-deber	deber	ð e β e ɾ	ð e β e ɾ -	Hartman2003
871	Latin	lati1261	435	dēbita-deuda	dēbita	d eː b i t ɑ	d eː b i t ɑ	Hartman2003
872	Spanish	stan1288	435	dēbita-deuda	deuda	ð e w ð ɑ	ð e w - ð ɑ	Hartman2003
873	Latin	lati1261	436	dēbitōre-deudor	dēbitōre	d eː b i t oː ɾ e	d eː b i t oː ɾ e	Hartman2003
874	Spanish	stan1288	436	dēbitōre-deudor	deudor	ð e w ð o ɾ	ð e w - ð o ɾ -	Hartman2003
