ID	DOCULECT	GLOTTOCODE	COGID	PARAMETER	VALUE	SEGMENTS	ALIGNMENT	SOURCE
32	Spanish	stan1288	15	accubitāre-acodar	acodar	ɑ k o ð ɑ ɾ	ɑ k o - - ð ɑ ɾ -	Hartman2003
33	Latin	lati1261	16	acētu-acedo	acētu	ɑ k eː t u	ɑ k - eː t u	Hartman2003
34	Spanish	stan1288	16	acētu-acedo	acedo	ɑ θ e ð o	ɑ θ - e ð o	Hartman2003
35	Latin	lati1261	17	aciariu-acero	aciariu	ɑ k i ɑ ɾ iu	ɑ k - i ɑ ɾ - iu	Hartman2003
36	Spanish	stan1288	17	aciariu-acero	acero	ɑ θ e ɾ o	ɑ θ - - e ɾ - o	Hartman2003
37	Latin	lati1261	18	acie-haz	acie	ɑ k ie	ɑ k - ie	Hartman2003
38	Spanish	stan1288	18	acie-haz	haz	ɑ θ	ɑ θ - -	Hartman2003
39	Latin	lati1261	19	acūcula-aguja	acūcula	ɑ k uː k u l ɑ	ɑ k uː k u l ɑ	Hartman2003
40	Spanish	stan1288	19	acūcula-aguja	aguja	ɑ ɣ u x ɑ	ɑ ɣ u - - x ɑ	Hartman2003
41	Latin	lati1261	20	acūta-aguda	acūta	ɑ k uː t ɑ	ɑ k uː t ɑ	Hartman2003
42	Spanish	stan1288	20	acūta-aguda	aguda	ɑ ɣ u ð ɑ	ɑ ɣ u ð ɑ	Hartman2003
43	Latin	lati1261	21	acūtu-agudo	acūtu	ɑ k uː t u	ɑ k uː t u	Hartman2003
44	Spanish	stan1288	21	acūtu-agudo	agudo	ɑ ɣ u ð o	ɑ ɣ u ð o	Hartman2003
45	Latin	lati1261	22	ad-a	ad	ɑ d	ɑ d	Hartman2003
46	Spanish	stan1288	22	ad-a	a	ɑ	ɑ -	Hartman2003
47	Latin	lati1261	23	adtrans-atras	adtrans	ɑ d t ɾ ɑ n ʂ	ɑ d t ɾ ɑ n ʂ	Hartman2003
48	Spanish	stan1288	23	adtrans-atras	atras	ɑ t ɾ ɑ ʂ	ɑ - t ɾ ɑ - ʂ	Hartman2003
49	Latin	lati1261	24	adverificāre-averiguar	adverificāre	ɑ d w e ɾ i f i k ɑː ɾ e	ɑ d w e ɾ i f i k ɑː ɾ e	Hartman2003
50	Spanish	stan1288	24	adverificāre-averiguar	averiguar	ɑ β e ɾ i ɣʷ ɑ ɾ	ɑ - β e ɾ i - - ɣʷ ɑ ɾ -	Hartman2003
51	Latin	lati1261	25	adversu-avieso	adversu	ɑ d w e ɾ ʂ u	ɑ d w e ɾ ʂ u	Hartman2003
52	Spanish	stan1288	25	adversu-avieso	avieso	ɑ β j e ʂ o	ɑ β j e - ʂ o	Hartman2003
53	Latin	lati1261	26	adviāre-aviar	adviāre	ɑ d w i ɑː ɾ e	ɑ d w i - ɑː ɾ e	Hartman2003
54	Spanish	stan1288	26	adviāre-aviar	aviar	ɑ β j ɑ ɾ	ɑ - β - j ɑ ɾ -	Hartman2003
55	Latin	lati1261	27	advocatōre-abogador	advocatōre	ɑ d w o k ɑ t oː ɾ e	ɑ d w o k ɑ t oː ɾ e	Hartman2003
56	Spanish	stan1288	27	advocatōre-abogador	abogador	ɑ β o ɣ ɑ ð o ɾ	ɑ - β o ɣ ɑ ð o ɾ -	Hartman2003
57	Latin	lati1261	28	aetāte-edad	aetāte	ɑ j t ɑː t e	ɑ j t ɑː t e	Hartman2003
58	Spanish	stan1288	28	aetāte-edad	edad	e ð ɑ ð	e - ð ɑ ð -	Hartman2003
59	Latin	lati1261	29	affractu-afrecho	affractu	ɑ fː ɾ ɑ k t u	ɑ fː ɾ ɑ k t u	Hartman2003
60	Spanish	stan1288	29	affractu-afrecho	afrecho	ɑ f ɾ e tʃ o	ɑ f ɾ e - tʃ o	Hartman2003
61	Latin	lati1261	30	affronta-afrenta	affronta	ɑ fː ɾ o n t ɑ	ɑ fː ɾ - o n t ɑ	Hartman2003
62	Spanish	stan1288	30	affronta-afrenta	afrenta	ɑ f ɾ e n t ɑ	ɑ f ɾ - e n t ɑ	Hartman2003
63	Latin	lati1261	31	aggravāre-agravar	aggravāre	ɑ gː ɾ ɑ w ɑː ɾ e	ɑ gː ɾ ɑ w ɑː ɾ e	Hartman2003
64	Spanish	stan1288	31	aggravāre-agravar	agravar	ɑ ɣ ɾ ɑ β ɑ ɾ	ɑ ɣ ɾ ɑ β ɑ ɾ -	Hartman2003
65	Latin	lati1261	32	agnīnu-añino	agnīnu	ɑ g n iː n u	ɑ g n iː n u	Hartman2003
66	Spanish	stan1288	32	agnīnu-añino	añino	ɑ ɲ i n o	ɑ - ɲ i n o	Hartman2003
67	Latin	lati1261	33	agnu-año	agnu	ɑ g n u	ɑ g n u	Hartman2003
68	Spanish	stan1288	33	agnu-año	año	ɑ ɲ o	ɑ - ɲ o	Hartman2003
69	Latin	lati1261	34	alānu-alano	alānu	ɑ l ɑː n u	ɑ l ɑː n u	Hartman2003
70	Spanish	stan1288	34	alānu-alano	alano	ɑ l ɑ n o	ɑ l ɑ n o	Hartman2003
71	Latin	lati1261	35	alabandīna-alabandina	alabandīna	ɑ l ɑ b ɑ n d iː n ɑ	ɑ l ɑ b ɑ n d iː n ɑ	Hartman2003
72	Spanish	stan1288	35	alabandīna-alabandina	alabandina	ɑ l ɑ β ɑ n d i n ɑ	ɑ l ɑ β ɑ n d i n ɑ	Hartman2003
73	Latin	lati1261	36	alabastru-alabastro	alabastru	ɑ l ɑ b ɑ ʂ t ɾ u	ɑ l ɑ b ɑ ʂ t ɾ u	Hartman2003
74	Spanish	stan1288	36	alabastru-alabastro	alabastro	ɑ l ɑ β ɑ s t ɾ o	ɑ l ɑ β ɑ s t ɾ o	Hartman2003
75	Latin	lati1261	37	alapāri-alabar	alapāri	ɑ l ɑ p ɑː ɾ i	ɑ l ɑ p ɑː ɾ i	Hartman2003
76	Spanish	stan1288	37	alapāri-alabar	alabar	ɑ l ɑ β ɑ ɾ	ɑ l ɑ β ɑ ɾ -	Hartman2003
77	Latin	lati1261	38	alaternu-aladierno	alaternu	ɑ l ɑ t e ɾ n u	ɑ l ɑ t - e ɾ n u	Hartman2003
78	Spanish	stan1288	38	alaternu-aladierno	aladierno	ɑ l ɑ ð j e ɾ n o	ɑ l ɑ ð j e ɾ n o	Hartman2003
79	Latin	lati1261	39	alid-al	alid	ɑ l i d	ɑ l i d	Hartman2003
80	Spanish	stan1288	39	alid-al	al	ɑ l	ɑ l - -	Hartman2003
81	Latin	lati1261	40	aliēnu-ajeno	aliēnu	ɑ l i eː n u	ɑ l - i eː n u	Hartman2003
82	Spanish	stan1288	40	aliēnu-ajeno	ajeno	ɑ x e n o	ɑ x - - e n o	Hartman2003
