grapheme	normalized	name	datasets	airstream	airstream2	articulation	articulation2	aspiration	aspiration2	breathiness	breathiness2	centrality	centrality2	contour	creakiness	creakiness2	duration	duration2	ejection	ejection2	end	friction	friction2	glottalization	glottalization2	height	height2	labialization	labialization2	laminality	laminality2	manner	manner2	middle	nasalization	nasalization2	palatalization	palatalization2	pharyngealization	pharyngealization2	phonation	phonation2	place	place2	preceding	preceding2	raising	raising2	relative_articulation	relative_articulation2	release	release2	rhotacization	rhotacization2	roundedness	roundedness2	rounding	rounding2	sound_type	start	stress	stress2	syllabicity	syllabicity2	tone	tone2	tongue_root	tongue_root2	velarization	velarization2	voicing	voicing2
ö	ø̞	rounded mid front vowel	napa									front														mid																													rounded				vowel													
ö	ö	centralized rounded close-mid back vowel	jipa									back														close-mid																							centralized						rounded				vowel													
ö	œ	rounded open-mid front vowel	gld									front														open-mid																													rounded				vowel													
ö	ø	rounded close-mid front vowel	upa									front														close-mid																													rounded				vowel													
öa	øɑ	from rounded close-mid front to unrounded open back diphthong	upa									back														open																													unrounded				diphthong													
öe	øe	from rounded close-mid front to unrounded close-mid front diphthong	upa									front														close-mid																													unrounded				diphthong													
öi	øi	from rounded close-mid front to unrounded close front diphthong	upa									front														close																													unrounded				diphthong													
öi	œi	from rounded open-mid front to unrounded close front diphthong	gld									front														close																													unrounded				diphthong													
öi̯	œi̯	from rounded open-mid front to non-syllabic unrounded close front diphthong	gld									front														close																													unrounded				diphthong				non-syllabic									
öu	œu	from rounded open-mid front to rounded close back diphthong	gld									back														close																													rounded				diphthong													
öu	øu	from rounded close-mid front to rounded close back diphthong	upa									back														close																													rounded				diphthong													
öü	øy	from rounded close-mid front to rounded close front diphthong	upa									front														close																													rounded				diphthong													
öü	œy	from rounded open-mid front to rounded close front diphthong	gld									front														close																													rounded				diphthong													
öüː	œyː	from rounded open-mid front to long rounded close front diphthong	gld									front					long									close																													rounded				diphthong													
öu̯	øu̯	from rounded close-mid front to non-syllabic rounded close back diphthong	upa									back														close																													rounded				diphthong				non-syllabic									
öu̯	œu̯	from rounded open-mid front to non-syllabic rounded close back diphthong	gld									back														close																													rounded				diphthong				non-syllabic									
öy̯	øy̯	from rounded close-mid front to non-syllabic rounded close front diphthong	upa									front														close																													rounded				diphthong				non-syllabic									
öʏ	œʏ	from rounded open-mid front to rounded near-close near-front diphthong	gld									near-front														near-close																													rounded				diphthong													
öˀ	œˀ	glottalized rounded open-mid front vowel	gld									front												glottalized		open-mid																													rounded				vowel													
öː	œː	long rounded open-mid front vowel	gld									front					long									open-mid																													rounded				vowel													
ö˞	œ˞	rhotacized rounded open-mid front vowel	gld									front														open-mid																											rhotacized		rounded				vowel													
öˠ	œˠ	velarized rounded open-mid front vowel	gld									front														open-mid																													rounded				vowel										velarized			
öˠː	œˠː	long velarized rounded open-mid front vowel	gld									front					long									open-mid																													rounded				vowel										velarized			
öˤ	œˤ	pharyngealized rounded open-mid front vowel	gld									front														open-mid													pharyngealized																rounded				vowel													
öˤː	œˤː	long pharyngealized rounded open-mid front vowel	gld									front					long									open-mid													pharyngealized																rounded				vowel													
ö̃	œ̃	nasalized rounded open-mid front vowel	gld									front														open-mid									nasalized																				rounded				vowel													
ö̃	ø̞̃	nasalized rounded mid front vowel	napa									front														mid									nasalized																				rounded				vowel													
ö̃ɛ̃	œ̃ɛ̃	from nasalized rounded open-mid front to nasalized unrounded open-mid front diphthong	gld									front														open-mid									nasalized																				unrounded				diphthong													
ö̃ː	œ̃ː	long nasalized rounded open-mid front vowel	gld									front					long									open-mid									nasalized																				rounded				vowel													
ö̃ˤ	œ̃ˤ	pharyngealized nasalized rounded open-mid front vowel	gld									front														open-mid									nasalized				pharyngealized																rounded				vowel													
öᴉ	øɪ	from rounded close-mid front to unrounded near-close near-front diphthong	upa									near-front														near-close																													unrounded				diphthong													
öᴉ̯	øɪ̯	from rounded close-mid front to non-syllabic unrounded near-close near-front diphthong	upa									near-front														near-close																													unrounded				diphthong				non-syllabic									
o̘	o̘	advanced-tongue-root rounded close-mid back vowel	bdproto;panphon;phoible									back														close-mid																													rounded				vowel								advanced-tongue-root					
o̘ː	o̘ː	long advanced-tongue-root rounded close-mid back vowel	panphon;phoible									back					long									close-mid																													rounded				vowel								advanced-tongue-root					
o̘ˠ	o̘ˠ	velarized advanced-tongue-root rounded close-mid back vowel	panphon									back														close-mid																													rounded				vowel								advanced-tongue-root		velarized			
o̙	o̙	retracted-tongue-root rounded close-mid back vowel	jipa;panphon;phoible									back														close-mid																													rounded				vowel								retracted-tongue-root					
o̙ː	o̙ː	long retracted-tongue-root rounded close-mid back vowel	panphon									back					long									close-mid																													rounded				vowel								retracted-tongue-root					
o̙ˠ	o̙ˠ	velarized retracted-tongue-root rounded close-mid back vowel	panphon									back														close-mid																													rounded				vowel								retracted-tongue-root		velarized			
o̝	o̝	raised rounded close-mid back vowel	jipa;panphon;pbase;phoible;saphon									back														close-mid																					raised								rounded				vowel													
o̝ː	o̝ː	long raised rounded close-mid back vowel	pbase									back					long									close-mid																					raised								rounded				vowel													
o̞	o̞	rounded mid back vowel	bdproto;bipa;eurasian;panphon;pbase;phoible;segbo;wiki									back														mid																													rounded				vowel													
o̞a	o̞a	from rounded mid back to unrounded open front diphthong	eurasian;phoible									front														open																													unrounded				diphthong													
o̞aˤ	o̞aˤ	from rounded mid back to pharyngealized unrounded open front diphthong	phoible									front														open													pharyngealized																unrounded				diphthong													
o̞ä	o̞ä	from rounded mid back to centralized unrounded open front diphthong	eurasian									front														open																							centralized						unrounded				diphthong													
o̞e̞	o̞e̞	from rounded mid back to unrounded mid front diphthong	phoible									front														mid																													unrounded				diphthong													
o̞i	o̞i	from rounded mid back to unrounded close front diphthong	phoible									front														close																													unrounded				diphthong													
o̞iˤ	o̞iˤ	from rounded mid back to pharyngealized unrounded close front diphthong	phoible									front														close													pharyngealized																unrounded				diphthong													
o̞i̯	o̞i̯	from rounded mid back to non-syllabic unrounded close front diphthong	eurasian;phoible									front														close																													unrounded				diphthong				non-syllabic									
o̞u	o̞u	from rounded mid back to rounded close back diphthong	phoible									back														close																													rounded				diphthong													
o̞ä	o̞ä	from rounded mid back to centralized unrounded open front diphthong	phoible									front														open																							centralized						unrounded				diphthong													
o̞ː	o̞ː	long rounded mid back vowel	bipa;eurasian;phoible									back					long									mid																													rounded				vowel													
o̞ˤ	o̞ˤ	pharyngealized rounded mid back vowel	phoible									back														mid													pharyngealized																rounded				vowel													
o̞ˤː	o̞ˤː	long pharyngealized rounded mid back vowel	phoible									back					long									mid													pharyngealized																rounded				vowel													
õ̞	õ̞	nasalized rounded mid back vowel	bipa;eurasian									back														mid									nasalized																				rounded				vowel													
õ̞ː	õ̞ː	long nasalized rounded mid back vowel	bipa									back					long									mid									nasalized																				rounded				vowel													
o̞̙	o̞̙	retracted-tongue-root rounded mid back vowel	eurasian;phoible									back														mid																													rounded				vowel								retracted-tongue-root					
o̞̜	o̞̜	less-rounded rounded mid back vowel	eurasian;phoible									back														mid																													rounded		less-rounded		vowel													
o̞̜ː	o̞̜ː	long less-rounded rounded mid back vowel	eurasian;phoible									back					long									mid																													rounded		less-rounded		vowel													
o̞̥	o̞̥	devoiced rounded mid back vowel	phoible									back														mid																													rounded				vowel												devoiced	
o̞̰	o̞̰	creaky rounded mid back vowel	phoible									back			creaky											mid																													rounded				vowel													
o̟	o̟	advanced rounded close-mid back vowel	panphon;phoible									back														close-mid																							advanced						rounded				vowel													
o̟ː	o̟ː	long advanced rounded close-mid back vowel	eurasian									back					long									close-mid																							advanced						rounded				vowel													
o̟ˑ	o̟ˑ	mid-long advanced rounded close-mid back vowel	eurasian;phoible									back					mid-long									close-mid																							advanced						rounded				vowel													
o̟̞	o̞̟	advanced rounded mid back vowel	phoible									back														mid																							advanced						rounded				vowel													
o̠	o̠	retracted rounded close-mid back vowel	panphon;phoible									back														close-mid																							retracted						rounded				vowel													
o̤	o̤	breathy rounded close-mid back vowel	bdproto;bipa;eurasian;jipa;lapsyd;panphon;pbase;phoible;ruhlen							breathy		back														close-mid																													rounded				vowel													
o̤i̤	o̤i̤	from breathy rounded close-mid back to breathy unrounded close front diphthong	phoible							breathy		front														close																													unrounded				diphthong													
o̤ʔ	o̤ˀ	glottalized breathy rounded close-mid back vowel	pbase							breathy		back												glottalized		close-mid																													rounded				vowel													
o̤ː	o̤ː	long breathy rounded close-mid back vowel	eurasian;jipa;panphon;pbase;phoible							breathy		back					long									close-mid																													rounded				vowel													
o̤ˑ	o̤ˑ	mid-long breathy rounded close-mid back vowel	jipa;phoible							breathy		back					mid-long									close-mid																													rounded				vowel													
o̤ˠ	o̤ˠ	velarized breathy rounded close-mid back vowel	panphon							breathy		back														close-mid																													rounded				vowel										velarized			
o̤ˤ	o̤ˤ	pharyngealized breathy rounded close-mid back vowel	panphon;pbase							breathy		back														close-mid													pharyngealized																rounded				vowel													
o̤̥	o̥̤	devoiced breathy rounded close-mid back vowel	panphon							breathy		back														close-mid																													rounded				vowel												devoiced	
o̥	o̥	devoiced rounded close-mid back vowel	bdproto;bipa;gld;nidaba;panphon;pbase									back														close-mid																													rounded				vowel												devoiced	
o̥ː	o̥ː	long devoiced rounded close-mid back vowel	gld;nidaba;panphon									back					long									close-mid																													rounded				vowel												devoiced	
o̥ˠ	o̥ˠ	velarized devoiced rounded close-mid back vowel	gld;panphon									back														close-mid																													rounded				vowel										velarized		devoiced	
o̥ˤ	o̥ˤ	pharyngealized devoiced rounded close-mid back vowel	gld;panphon									back														close-mid													pharyngealized																rounded				vowel												devoiced	
õ̥	õ̥	nasalized devoiced rounded close-mid back vowel	gld									back														close-mid									nasalized																				rounded				vowel												devoiced	
õ̥ː	õ̥ː	long nasalized devoiced rounded close-mid back vowel	gld									back					long									close-mid									nasalized																				rounded				vowel												devoiced	
o̥̯	o̥̯	non-syllabic devoiced rounded close-mid back vowel	gld									back														close-mid																													rounded				vowel				non-syllabic								devoiced	
o̥̯ː	o̥̯ː	long non-syllabic devoiced rounded close-mid back vowel	gld									back					long									close-mid																													rounded				vowel				non-syllabic								devoiced	
õ̥̯	õ̥̯	non-syllabic nasalized devoiced rounded close-mid back vowel	gld									back														close-mid									nasalized																				rounded				vowel				non-syllabic								devoiced	
õ̥̯ː	õ̥̯ː	long non-syllabic nasalized devoiced rounded close-mid back vowel	gld									back					long									close-mid									nasalized																				rounded				vowel				non-syllabic								devoiced	
o̯	o̯	non-syllabic rounded close-mid back vowel	bipa;diachronica;gld;nidaba;panphon;pbase;phoible;upa									back														close-mid																													rounded				vowel				non-syllabic									
o̯a	o̯a	from non-syllabic rounded close-mid back to unrounded open front diphthong	gld;pbase									front														open																													unrounded				diphthong				non-syllabic									
o̯u	o̯u	from non-syllabic rounded close-mid back to rounded close back diphthong	gld;pbase;upa									back														close																													rounded				diphthong				non-syllabic									
o̯ä	o̯ä	from non-syllabic rounded close-mid back to centralized unrounded open front diphthong	eurasian;phoible									front														open																							centralized						unrounded				diphthong				non-syllabic									
o̯ː	o̯ː	long non-syllabic rounded close-mid back vowel	gld;nidaba									back					long									close-mid																													rounded				vowel				non-syllabic									
õ̯	õ̯	non-syllabic nasalized rounded close-mid back vowel	gld;nidaba									back														close-mid									nasalized																				rounded				vowel				non-syllabic									
õ̯ː	õ̯ː	long non-syllabic nasalized rounded close-mid back vowel	gld;nidaba									back					long									close-mid									nasalized																				rounded				vowel				non-syllabic									
õ̯̥	õ̥̯	non-syllabic nasalized devoiced rounded close-mid back vowel	nidaba									back														close-mid									nasalized																				rounded				vowel				non-syllabic								devoiced	
õ̯̥ː	õ̥̯ː	long non-syllabic nasalized devoiced rounded close-mid back vowel	nidaba									back					long									close-mid									nasalized																				rounded				vowel				non-syllabic								devoiced	
ō̯	o̯ː	long non-syllabic rounded close-mid back vowel	upa									back					long									close-mid																													rounded				vowel				non-syllabic									
o̯̥	o̥̯	non-syllabic devoiced rounded close-mid back vowel	nidaba									back														close-mid																													rounded				vowel				non-syllabic								devoiced	
o̯̥ː	o̥̯ː	long non-syllabic devoiced rounded close-mid back vowel	nidaba									back					long									close-mid																													rounded				vowel				non-syllabic								devoiced	
o̰	o̰	creaky rounded close-mid back vowel	bipa;diachronica;eurasian;jipa;lapsyd;panphon;phoible;ruhlen;saphon									back			creaky											close-mid																													rounded				vowel													
o̰ḛ	o̰ḛ	from creaky rounded close-mid back to creaky unrounded close-mid front diphthong	lapsyd									front			creaky											close-mid																													unrounded				diphthong													
o̰ː	o̰ː	long creaky rounded close-mid back vowel	panphon;phoible									back			creaky		long									close-mid																													rounded				vowel													
o̰ˑ	o̰ˑ	mid-long creaky rounded close-mid back vowel	phoible									back			creaky		mid-long									close-mid																													rounded				vowel													
o̰ˠ	o̰ˠ	velarized creaky rounded close-mid back vowel	panphon									back			creaky											close-mid																													rounded				vowel										velarized			
o̰ˤ	o̰ˤ	pharyngealized creaky rounded close-mid back vowel	panphon									back			creaky											close-mid													pharyngealized																rounded				vowel													
õ̰	õ̰	nasalized creaky rounded close-mid back vowel	lapsyd;saphon									back			creaky											close-mid									nasalized																				rounded				vowel													
oᴉ	oɪ	from rounded close-mid back to unrounded near-close near-front diphthong	upa									near-front														near-close																													unrounded				diphthong													
oᴉ̯	oɪ̯	from rounded close-mid back to non-syllabic unrounded near-close near-front diphthong	upa									near-front														near-close																													unrounded				diphthong				non-syllabic									
oᴜ	oʊ	from rounded close-mid back to rounded near-close near-back diphthong	napa									near-back														near-close																													rounded				diphthong													
oᴜ̃	oʊ̃	from rounded close-mid back to nasalized rounded near-close near-back diphthong	napa									near-back														near-close									nasalized																				rounded				diphthong													
oᴱ	oɛ	from rounded close-mid back to unrounded open-mid front diphthong	phoible									front														open-mid																													unrounded				diphthong													
p	p	voiceless bilabial stop consonant	allenbai;apics;aus;bdpa;bdproto;beidasinitic;bipa;chomsky;diachronica;eurasian;gld;jipa;lapsyd;multimedia;napa;nidaba;panphon;pbase;phoible;ruhlen;sala;saphon;segbo;upa;wiki																													stop									voiceless		bilabial																consonant													
p'	pʼ	voiceless bilabial ejective stop consonant	jipa																ejective													stop									voiceless		bilabial																consonant													
p:	pː	long voiceless bilabial stop consonant	jipa														long															stop									voiceless		bilabial																consonant													
pf	pf	voiceless labio-dental affricate consonant	beidasinitic;bipa;eurasian;jipa;lapsyd;pbase;phoible																													affricate									voiceless		labio-dental																consonant													
pfʰ	pfʰ	aspirated voiceless labio-dental affricate consonant	bipa;pbase;phoible					aspirated																								affricate									voiceless		labio-dental																consonant													
pfʼ	pfʼ	voiceless labio-dental ejective affricate consonant	bipa;lapsyd																ejective													affricate									voiceless		labio-dental																consonant													
pf’	pfʼ	voiceless labio-dental ejective affricate consonant	phoible																ejective													affricate									voiceless		labio-dental																consonant													
pf’	pfʰ	aspirated voiceless labio-dental affricate consonant	beidasinitic					aspirated																								affricate									voiceless		labio-dental																consonant													
ph	pʰ	aspirated voiceless bilabial stop consonant	bdproto;bipa					aspirated																								stop									voiceless		bilabial																consonant													
pk	pk	voiceless bilabial-and-velar stop consonant	bipa																													stop									voiceless		bilabial-and-velar																consonant													
pkʰ	pkʰ	aspirated voiceless bilabial-and-velar stop consonant	phoible					aspirated																								stop									voiceless		bilabial-and-velar																consonant													
pl	pˡ	with-lateral-release voiceless bilabial stop consonant	bdproto																													stop									voiceless		bilabial								with-lateral-release								consonant													
pm	pⁿ	with-nasal-release voiceless bilabial stop consonant	jipa;phoible																													stop									voiceless		bilabial								with-nasal-release								consonant													
pp	pː	long voiceless bilabial stop consonant	jipa														long															stop									voiceless		bilabial																consonant													
ppʰ	pʰː	aspirated long voiceless bilabial stop consonant	jipa					aspirated									long															stop									voiceless		bilabial																consonant													
ps	pˢ	with-sibilant-release voiceless bilabial stop consonant	phoible;saphon																													stop									voiceless		bilabial								with-sibilant-release								consonant													
psʰ	pˢʰ	aspirated with-sibilant-release voiceless bilabial stop consonant	phoible					aspirated																								stop									voiceless		bilabial								with-sibilant-release								consonant													
psʷ	pˢʷ	labialized with-sibilant-release voiceless bilabial stop consonant	phoible																									labialized				stop									voiceless		bilabial								with-sibilant-release								consonant													
psʷʰ	pˢʷʰ	labialized aspirated with-sibilant-release voiceless bilabial stop consonant	phoible					aspirated																				labialized				stop									voiceless		bilabial								with-sibilant-release								consonant													
pt	pt	voiceless bilabial-and-alveolar stop consonant	bipa;phoible;ruhlen																													stop									voiceless		bilabial-and-alveolar																consonant													
ptˢ	ptˢ	with-sibilant-release voiceless bilabial-and-alveolar stop consonant	ruhlen																													stop									voiceless		bilabial-and-alveolar								with-sibilant-release								consonant													
pɦ	pʱ	breathy voiceless bilabial stop consonant	gld;phoible							breathy																						stop									voiceless		bilabial																consonant													
pɦ	pʰ	aspirated voiceless bilabial stop consonant	pbase					aspirated																								stop									voiceless		bilabial																consonant													
pɸ	pɸ	voiceless bilabial affricate consonant	bipa;lapsyd;pbase;phoible;wiki																													affricate									voiceless		bilabial																consonant													
pɾ	pʳ	with-trilled-release voiceless bilabial stop consonant	phoible																													stop									voiceless		bilabial								with-trilled-release								consonant													
pʰ	pʰ	aspirated voiceless bilabial stop consonant	allenbai;apics;bdpa;bdproto;bipa;diachronica;eurasian;gld;jipa;lapsyd;nidaba;panphon;pbase;phoible;ruhlen;saphon;segbo					aspirated																								stop									voiceless		bilabial																consonant													
pʰʲ	pʲʰ	palatalized aspirated voiceless bilabial stop consonant	eurasian;nidaba;panphon					aspirated																								stop					palatalized				voiceless		bilabial																consonant													
pʰʲː	pʲʰː	palatalized aspirated long voiceless bilabial stop consonant	nidaba					aspirated									long															stop					palatalized				voiceless		bilabial																consonant													
pʰʷ	pʷʰ	labialized aspirated voiceless bilabial stop consonant	eurasian;lapsyd;nidaba;panphon;pbase					aspirated																				labialized				stop									voiceless		bilabial																consonant													
pʰʷː	pʷʰː	labialized aspirated long voiceless bilabial stop consonant	nidaba					aspirated									long											labialized				stop									voiceless		bilabial																consonant													
pʰː	pʰː	aspirated long voiceless bilabial stop consonant	bipa;gld;jipa;nidaba;panphon;phoible					aspirated									long															stop									voiceless		bilabial																consonant													
pʰˠ	pˠʰ	velarized aspirated voiceless bilabial stop consonant	panphon					aspirated																								stop									voiceless		bilabial																consonant										velarized			
pʰˤ	pˤʰ	pharyngealized aspirated voiceless bilabial stop consonant	eurasian;panphon					aspirated																								stop							pharyngealized		voiceless		bilabial																consonant													
pʱ	pʱ	breathy voiceless bilabial stop consonant	ruhlen							breathy																						stop									voiceless		bilabial																consonant													
pʲ	pʲ	palatalized voiceless bilabial stop consonant	bdproto;bipa;diachronica;eurasian;jipa;lapsyd;nidaba;panphon;pbase;phoible;saphon;segbo																													stop					palatalized				voiceless		bilabial																consonant													
pʲʰ	pʲʰ	palatalized aspirated voiceless bilabial stop consonant	bipa;eurasian;lapsyd;panphon;pbase;phoible					aspirated																								stop					palatalized				voiceless		bilabial																consonant													
pʲʷ	pʲʷ	palatalized labialized voiceless bilabial stop consonant	panphon																									labialized				stop					palatalized				voiceless		bilabial																consonant													
pʲʷʰ	pʲʷʰ	palatalized labialized aspirated voiceless bilabial stop consonant	panphon					aspirated																				labialized				stop					palatalized				voiceless		bilabial																consonant													
pʲʼ	pʼʲ	palatalized voiceless bilabial ejective stop consonant	diachronica;panphon																ejective													stop					palatalized				voiceless		bilabial																consonant													
pʲː	pʲː	palatalized long voiceless bilabial stop consonant	diachronica;eurasian;nidaba;panphon;phoible														long															stop					palatalized				voiceless		bilabial																consonant													
pʲ’	pʼʲ	palatalized voiceless bilabial ejective stop consonant	phoible																ejective													stop					palatalized				voiceless		bilabial																consonant													
pʷ	pʷ	labialized voiceless bilabial stop consonant	bdproto;bipa;diachronica;eurasian;gld;jipa;lapsyd;nidaba;panphon;pbase;phoible;ruhlen;saphon;segbo																									labialized				stop									voiceless		bilabial																consonant													
pʷʰ	pʷʰ	labialized aspirated voiceless bilabial stop consonant	gld;panphon;phoible;segbo					aspirated																				labialized				stop									voiceless		bilabial																consonant													
pʷʰː	pʷʰː	labialized aspirated long voiceless bilabial stop consonant	gld;panphon					aspirated									long											labialized				stop									voiceless		bilabial																consonant													
pʷʲ	pʲʷ	palatalized labialized voiceless bilabial stop consonant	diachronica;lapsyd																									labialized				stop					palatalized				voiceless		bilabial																consonant													
pʷʲʼ	pʼʲʷ	palatalized labialized voiceless bilabial ejective stop consonant	diachronica																ejective									labialized				stop					palatalized				voiceless		bilabial																consonant													
pʷʼ	pʼʷ	labialized voiceless bilabial ejective stop consonant	diachronica;jipa;lapsyd;panphon;pbase;segbo																ejective									labialized				stop									voiceless		bilabial																consonant													
pʷˀ	pʷˀ	labialized glottalized voiceless bilabial stop consonant	gld;panphon																					glottalized				labialized				stop									voiceless		bilabial																consonant													
pʷː	pʷː	labialized long voiceless bilabial stop consonant	gld;nidaba;panphon														long											labialized				stop									voiceless		bilabial																consonant													
pʷˠ	pʷˠ	labialized velarized voiceless bilabial stop consonant	gld;panphon;phoible																									labialized				stop									voiceless		bilabial																consonant										velarized			
pʷˠʰ	pʷˠʰ	labialized velarized aspirated voiceless bilabial stop consonant	gld;panphon;phoible					aspirated																				labialized				stop									voiceless		bilabial																consonant										velarized			
pʷˠː	pʷˠː	labialized velarized long voiceless bilabial stop consonant	gld;phoible														long											labialized				stop									voiceless		bilabial																consonant										velarized			
pʷˤ	pʷˤ	labialized pharyngealized voiceless bilabial stop consonant	gld;panphon																									labialized				stop							pharyngealized		voiceless		bilabial																consonant													
pʷˤʰ	pʷˤʰ	labialized pharyngealized aspirated voiceless bilabial stop consonant	gld;panphon					aspirated																				labialized				stop							pharyngealized		voiceless		bilabial																consonant													
pʷˤʼ	pʼʷˤ	labialized pharyngealized voiceless bilabial ejective stop consonant	panphon																ejective									labialized				stop							pharyngealized		voiceless		bilabial																consonant													
pʷ’	pʼʷ	labialized voiceless bilabial ejective stop consonant	phoible																ejective									labialized				stop									voiceless		bilabial																consonant													
pʸ	pʲ	palatalized voiceless bilabial stop consonant	gld																													stop					palatalized				voiceless		bilabial																consonant													
pʸʰ	pʲʰ	palatalized aspirated voiceless bilabial stop consonant	gld					aspirated																								stop					palatalized				voiceless		bilabial																consonant													
pʸʰː	pʲʰː	palatalized aspirated long voiceless bilabial stop consonant	gld					aspirated									long															stop					palatalized				voiceless		bilabial																consonant													
pʸʷ	pʲʷ	palatalized labialized voiceless bilabial stop consonant	gld																									labialized				stop					palatalized				voiceless		bilabial																consonant													
pʸʷʰ	pʲʷʰ	palatalized labialized aspirated voiceless bilabial stop consonant	gld					aspirated																				labialized				stop					palatalized				voiceless		bilabial																consonant													
pʸː	pʲː	palatalized long voiceless bilabial stop consonant	gld														long															stop					palatalized				voiceless		bilabial																consonant													
pʼ	pʼ	voiceless bilabial ejective stop consonant	apics;bdproto;bipa;diachronica;eurasian;jipa;lapsyd;multimedia;panphon;pbase;saphon;segbo																ejective													stop									voiceless		bilabial																consonant													
pʼʲ	pʼʲ	palatalized voiceless bilabial ejective stop consonant	eurasian;panphon																ejective													stop					palatalized				voiceless		bilabial																consonant													
pʼʷ	pʼʷ	labialized voiceless bilabial ejective stop consonant	eurasian;panphon																ejective									labialized				stop									voiceless		bilabial																consonant													
pʼː	pʼː	long voiceless bilabial ejective stop consonant	jipa;panphon														long		ejective													stop									voiceless		bilabial																consonant													
pʼˤ	pʼˤ	pharyngealized voiceless bilabial ejective stop consonant	pbase																ejective													stop							pharyngealized		voiceless		bilabial																consonant													
pˀ	pˀ	glottalized voiceless bilabial stop consonant	bdproto;gld;panphon;phoible;ruhlen																					glottalized								stop									voiceless		bilabial																consonant													
pː	pː	long voiceless bilabial stop consonant	apics;bdproto;bipa;diachronica;eurasian;gld;jipa;lapsyd;nidaba;panphon;pbase;phoible;ruhlen;saphon														long															stop									voiceless		bilabial																consonant													
pːʰ	pʰː	aspirated long voiceless bilabial stop consonant	bipa;eurasian					aspirated									long															stop									voiceless		bilabial																consonant													
pːʲ	pʲː	palatalized long voiceless bilabial stop consonant	panphon														long															stop					palatalized				voiceless		bilabial																consonant													
pːʷ	pʷː	labialized long voiceless bilabial stop consonant	bdproto;panphon														long											labialized				stop									voiceless		bilabial																consonant													
pːː	pː	long voiceless bilabial stop consonant	eurasian														long															stop									voiceless		bilabial																consonant													
pːˠ	pˠː	velarized long voiceless bilabial stop consonant	panphon														long															stop									voiceless		bilabial																consonant										velarized			
pːˤ	pˤː	pharyngealized long voiceless bilabial stop consonant	panphon														long															stop							pharyngealized		voiceless		bilabial																consonant													
pˑ	pˑ	mid-long voiceless bilabial stop consonant	diachronica;phoible														mid-long															stop									voiceless		bilabial																consonant													
pˠ	pˠ	velarized voiceless bilabial stop consonant	bipa;eurasian;gld;jipa;lapsyd;panphon;pbase;phoible																													stop									voiceless		bilabial																consonant										velarized			
pˠʰ	pˠʰ	velarized aspirated voiceless bilabial stop consonant	eurasian;gld;phoible					aspirated																								stop									voiceless		bilabial																consonant										velarized			
pˠː	pˠː	velarized long voiceless bilabial stop consonant	gld														long															stop									voiceless		bilabial																consonant										velarized			
pˡ	pˡ	with-lateral-release voiceless bilabial stop consonant	gld;pbase;ruhlen																													stop									voiceless		bilabial								with-lateral-release								consonant													
pˡʰ	pˡʰ	aspirated with-lateral-release voiceless bilabial stop consonant	gld;ruhlen					aspirated																								stop									voiceless		bilabial								with-lateral-release								consonant													
pˢ	pˢ	with-sibilant-release voiceless bilabial stop consonant	ruhlen																													stop									voiceless		bilabial								with-sibilant-release								consonant													
pˤ	pˤ	pharyngealized voiceless bilabial stop consonant	diachronica;eurasian;gld;panphon;pbase;phoible;segbo																													stop							pharyngealized		voiceless		bilabial																consonant													
pˤʰ	pˤʰ	pharyngealized aspirated voiceless bilabial stop consonant	gld;panphon;phoible					aspirated																								stop							pharyngealized		voiceless		bilabial																consonant													
pˤʼ	pʼˤ	pharyngealized voiceless bilabial ejective stop consonant	diachronica;panphon																ejective													stop							pharyngealized		voiceless		bilabial																consonant													
pˤː	pˤː	pharyngealized long voiceless bilabial stop consonant	diachronica;gld;panphon														long															stop							pharyngealized		voiceless		bilabial																consonant													
p˿	ʘ	voiceless labial click consonant	upa																													click									voiceless		labial																consonant													
p˿χ	ʘx	from voiceless labial click to voiceless velar fricative cluster	upa																													fricative									voiceless		velar																cluster													
p˿ᴤ	ʘh	from voiceless labial click to voiceless glottal fricative cluster	upa																													fricative									voiceless		glottal																cluster													
p̓	pʼ	voiceless bilabial ejective stop consonant	napa																ejective													stop									voiceless		bilabial																consonant													
p̚	p̚	unreleased voiceless bilabial stop consonant	bipa;gld																													stop									voiceless		bilabial								unreleased								consonant													
p̚ʸ	p̚ʲ	palatalized unreleased voiceless bilabial stop consonant	gld																													stop					palatalized				voiceless		bilabial								unreleased								consonant													
p̟	p̟	advanced voiceless bilabial stop consonant	panphon																													stop									voiceless		bilabial						advanced										consonant													
p̠	p̠	retracted voiceless bilabial stop consonant	panphon																													stop									voiceless		bilabial						retracted										consonant													
p̩	p̩	syllabic voiceless bilabial stop consonant	gld;nidaba																													stop									voiceless		bilabial																consonant				syllabic									
p̩ʲ	p̩ʲ	syllabic palatalized voiceless bilabial stop consonant	nidaba																													stop					palatalized				voiceless		bilabial																consonant				syllabic									
p̩ʲː	p̩ʲː	syllabic palatalized long voiceless bilabial stop consonant	nidaba														long															stop					palatalized				voiceless		bilabial																consonant				syllabic									
p̩ʷ	p̩ʷ	syllabic labialized voiceless bilabial stop consonant	gld;nidaba																									labialized				stop									voiceless		bilabial																consonant				syllabic									
p̩ʷː	p̩ʷː	syllabic labialized long voiceless bilabial stop consonant	gld;nidaba														long											labialized				stop									voiceless		bilabial																consonant				syllabic									
p̩ʸ	p̩ʲ	syllabic palatalized voiceless bilabial stop consonant	gld																													stop					palatalized				voiceless		bilabial																consonant				syllabic									
