grapheme	normalized	name	datasets	airstream	airstream2	articulation	articulation2	aspiration	aspiration2	breathiness	breathiness2	centrality	centrality2	contour	creakiness	creakiness2	duration	duration2	ejection	ejection2	end	friction	friction2	glottalization	glottalization2	height	height2	labialization	labialization2	laminality	laminality2	manner	manner2	middle	nasalization	nasalization2	palatalization	palatalization2	pharyngealization	pharyngealization2	phonation	phonation2	place	place2	preceding	preceding2	raising	raising2	relative_articulation	relative_articulation2	release	release2	rhotacization	rhotacization2	roundedness	roundedness2	rounding	rounding2	sound_type	start	stress	stress2	syllabicity	syllabicity2	tone	tone2	tongue_root	tongue_root2	velarization	velarization2	voicing	voicing2
Nb	ⁿb	pre-nasalized voiced bilabial stop consonant	jipa																													stop									voiced		bilabial		pre-nasalized														consonant													
Nd	ⁿd	pre-nasalized voiced alveolar stop consonant	jipa																													stop									voiced		alveolar		pre-nasalized														consonant													
Ndz	ⁿdz	pre-nasalized voiced alveolar sibilant affricate consonant	jipa	sibilant																												affricate									voiced		alveolar		pre-nasalized														consonant													
Ndʐ	ⁿɖʐ	pre-nasalized voiced retroflex sibilant affricate consonant	jipa	sibilant																												affricate									voiced		retroflex		pre-nasalized														consonant													
Ndʑ	ⁿdʑ	pre-nasalized voiced alveolo-palatal sibilant affricate consonant	jipa	sibilant																												affricate									voiced		alveolo-palatal		pre-nasalized														consonant													
Nd̪z̪	ⁿdz̪	pre-nasalized voiced dental sibilant affricate consonant	jipa	sibilant																												affricate									voiced		dental		pre-nasalized														consonant													
Nd̻z̻	ⁿdz̻	pre-nasalized voiced laminal alveolar sibilant affricate consonant	jipa	sibilant																										laminal		affricate									voiced		alveolar		pre-nasalized														consonant													
Ng	ⁿg	pre-nasalized voiced velar stop consonant	jipa																													stop									voiced		velar		pre-nasalized														consonant													
Nkʰ	ⁿkʰ	pre-nasalized aspirated voiceless velar stop consonant	jipa					aspirated																								stop									voiceless		velar		pre-nasalized														consonant													
Npʰ	ⁿpʰ	pre-nasalized aspirated voiceless bilabial stop consonant	jipa					aspirated																								stop									voiceless		bilabial		pre-nasalized														consonant													
Ntɕʰ	ⁿtɕʰ	pre-nasalized aspirated voiceless alveolo-palatal sibilant affricate consonant	jipa	sibilant				aspirated																								affricate									voiceless		alveolo-palatal		pre-nasalized														consonant													
Ntʰ	ⁿtʰ	pre-nasalized aspirated voiceless alveolar stop consonant	jipa					aspirated																								stop									voiceless		alveolar		pre-nasalized														consonant													
Nt̪s̪ʰ	ⁿts̪ʰ	pre-nasalized aspirated voiceless dental sibilant affricate consonant	jipa	sibilant				aspirated																								affricate									voiceless		dental		pre-nasalized														consonant													
Nt̻s̻ʰ	ⁿts̻ʰ	pre-nasalized aspirated voiceless laminal alveolar sibilant affricate consonant	jipa	sibilant				aspirated																						laminal		affricate									voiceless		alveolar		pre-nasalized														consonant													
Nɖɽ	ⁿɖʳ	pre-nasalized with-trilled-release voiced retroflex stop consonant	jipa																													stop									voiced		retroflex		pre-nasalized						with-trilled-release								consonant													
Nʈɽʰ	ⁿʈʳʰ	pre-nasalized aspirated with-trilled-release voiceless retroflex stop consonant	jipa					aspirated																								stop									voiceless		retroflex		pre-nasalized						with-trilled-release								consonant													
Ñ	ɲ̊	devoiced voiced palatal nasal consonant	napa																													nasal									voiced		palatal																consonant												devoiced	
Ṇ	ŋ̊	devoiced voiced velar nasal consonant	napa																													nasal									voiced		velar																consonant												devoiced	
N̩	n̩	syllabic voiced alveolar nasal consonant	pbase																													nasal									voiced		alveolar																consonant				syllabic									
R	r	voiced alveolar trill consonant	bdproto;phoible;ruhlen																													trill									voiced		alveolar																consonant													
R	r̥	devoiced voiced alveolar trill consonant	napa																													trill									voiced		alveolar																consonant												devoiced	
Rʲ	rʲ	palatalized voiced alveolar trill consonant	phoible																													trill					palatalized				voiced		alveolar																consonant													
R̪	r̪	voiced dental trill consonant	phoible																													trill									voiced		dental																consonant													
R̪|R	r	voiced alveolar trill consonant	phoible																													trill									voiced		alveolar																consonant													
R̪̥|R̥	r̥	devoiced voiced alveolar trill consonant	phoible																													trill									voiced		alveolar																consonant												devoiced	
R̪̰|R̰	r̰	creaky voiced alveolar trill consonant	phoible												creaky																	trill									voiced		alveolar																consonant													
W	w̥	devoiced voiced labio-velar approximant consonant	napa																													approximant									voiced		labio-velar																consonant												devoiced	
Y	j̊	devoiced voiced palatal approximant consonant	napa																													approximant									voiced		palatal																consonant												devoiced	
a	ɑ	unrounded open back vowel	upa									back														open																													unrounded				vowel													
a	a	unrounded open front vowel	allenbai;apics;aus;bdpa;bdproto;beidasinitic;bipa;diachronica;eurasian;gld;jipa;lapsyd;napa;nidaba;panphon;pbase;phoible;ruhlen;sala;saphon;segbo;wiki									front														open																													unrounded				vowel													
a+	a̟	advanced unrounded open front vowel	pbase									front														open																							advanced						unrounded				vowel													
aå	ɑɒ	from unrounded open back to rounded open back diphthong	upa									back														open																													rounded				diphthong													
ae	ɑe	from unrounded open back to unrounded close-mid front diphthong	upa									front														close-mid																													unrounded				diphthong													
ae	ae	from unrounded open front to unrounded close-mid front diphthong	bdproto;eurasian;gld;jipa;lapsyd;napa;phoible									front														close-mid																													unrounded				diphthong													
ae̞	ae̞	from unrounded open front to unrounded mid front diphthong	phoible									front														mid																													unrounded				diphthong													
ae̞ˤ	ae̞ˤ	from unrounded open front to pharyngealized unrounded mid front diphthong	phoible									front														mid													pharyngealized																unrounded				diphthong													
ae̯	ae̯	from unrounded open front to non-syllabic unrounded close-mid front diphthong	eurasian;gld;jipa;phoible									front														close-mid																													unrounded				diphthong				non-syllabic									
ai	ai	from unrounded open front to unrounded close front diphthong	allenbai;apics;bdpa;bdproto;beidasinitic;eurasian;gld;jipa;lapsyd;napa;pbase;phoible;segbo									front														close																													unrounded				diphthong													
ai	ɑi	from unrounded open back to unrounded close front diphthong	upa									front														close																													unrounded				diphthong													
aiː	aiː	from unrounded open front to long unrounded close front diphthong	gld									front					long									close																													unrounded				diphthong													
aï	aɯ	from unrounded open front to unrounded close back diphthong	napa									back														close																													unrounded				diphthong													
aï̃	aɯ̃	from unrounded open front to nasalized unrounded close back diphthong	napa									back														close									nasalized																				unrounded				diphthong													
ai̯	ai̯	from unrounded open front to non-syllabic unrounded close front diphthong	eurasian;gld;jipa;pbase;phoible									front														close																													unrounded				diphthong				non-syllabic									
